Type,T_MtoP,T_PtoI,T_ItoD,I_MtoP,I_PtoI,I_ItoD,M_MtoP,M_PtoI,M_ItoD,R_MtoP,R_PtoI,R_ItoD,P_MtoP,P_PtoI,P_ItoD
4,0,0.761140168,0.756370962,0.977731168,0.99210763,0.994224012,0.310505182,0.101204902,0.767134905,0.372366965,0.122641891,0.75781548,0.306250989,0.128832251,0.776318371
4,0,0.763374984,0.742279291,0.977783501,0.992131233,0.994241774,0.314475179,0.098986059,0.765433133,0.377738655,0.120348692,0.755643666,0.310851336,0.126508176,0.774447858
4,0,0.765898705,0.727775276,0.977962077,0.992158294,0.994264483,0.317587852,0.097243607,0.764094472,0.382870167,0.118589401,0.753698647,0.31685245,0.124079615,0.772175491
4,0,0.767359734,0.722383201,0.978246331,0.992161691,0.994271576,0.320138693,0.095814139,0.762993693,0.387047529,0.117157161,0.752108335,0.321860909,0.122141391,0.77029568
4,0,0.768754125,0.719853163,0.978480875,0.992156565,0.994271994,0.322267443,0.094619676,0.762072682,0.391829133,0.115768492,0.750359178,0.326325238,0.120411098,0.76860714
4,0,0.770358682,0.716943443,0.97865057,0.992162347,0.994279206,0.324068844,0.093608588,0.761291325,0.39607349,0.114628643,0.748830616,0.33053422,0.118981272,0.767075837
4,0,0.772397161,0.713159859,0.978824139,0.992144763,0.994269133,0.325614423,0.092740297,0.760619402,0.399812758,0.11361587,0.747473776,0.334290326,0.117803842,0.765732288
4,0,0.773919821,0.709313869,0.978945851,0.992126286,0.994257867,0.326956511,0.091985926,0.760035396,0.403693497,0.112719536,0.746112347,0.337472379,0.116730809,0.764564753
4,0,0.775129557,0.704042315,0.978980243,0.992131829,0.994262755,0.328136533,0.091322064,0.759521484,0.407109857,0.111986905,0.744927883,0.340788633,0.115787894,0.763395548
4,0,0.77630806,0.701176167,0.979009509,0.992137134,0.994266927,0.329185992,0.090731561,0.759062767,0.410351604,0.111390799,0.743834257,0.343608707,0.114914536,0.762376368
4,0,0.777128577,0.698897243,0.979049325,0.99213624,0.994267344,0.330115825,0.090208128,0.758656979,0.41334638,0.11089316,0.742837191,0.346259177,0.114139199,0.761430025
4,0,0.777792215,0.696027696,0.979079843,0.992143869,0.994273067,0.330956131,0.089734659,0.758289516,0.415657163,0.110422313,0.742036343,0.348582506,0.113426775,0.760585189
4,0,0.778227329,0.693349659,0.979127288,0.992146313,0.994275808,0.331712067,0.089309037,0.757958055,0.417767406,0.110022783,0.741313934,0.350722611,0.112851113,0.759830832
4,0,0.778485835,0.692339838,0.979131222,0.992149293,0.994278193,0.332400829,0.088920996,0.757656872,0.419722855,0.109668732,0.740647793,0.352138102,0.112381876,0.759300113
4,0,0.778820992,0.690190673,0.979132652,0.992153943,0.99428153,0.333025783,0.088568449,0.757383049,0.421614975,0.109347939,0.74000901,0.353341401,0.111989141,0.758847654
4,0,0.779197097,0.688987255,0.97912991,0.992167532,0.994291604,0.33360064,0.088244483,0.75713098,0.422894418,0.109082282,0.739560008,0.354686737,0.111566037,0.758347213
4,0,0.779617846,0.688831508,0.979131997,0.992173314,0.994295716,0.334128559,0.087947011,0.756898522,0.423455149,0.108917683,0.739347696,0.355798542,0.111265212,0.757947624
4,0,0.780100703,0.689634323,0.9791345,0.992186189,0.994305253,0.334616899,0.087671548,0.756683946,0.423903376,0.108740419,0.739162862,0.356653094,0.111012429,0.757633567
4,0,0.780692697,0.691408336,0.979137599,0.992194831,0.994311512,0.335068107,0.087416455,0.756486237,0.424376488,0.108583808,0.738977671,0.356986433,0.110838443,0.757486582
4,0,0.781585336,0.691821694,0.979133785,0.992208302,0.994321346,0.335486919,0.087180793,0.756301165,0.424510151,0.108518749,0.738917887,0.357080758,0.110744804,0.757431805
